1154;PLATEAU RECTANGULAIRE 35  CM MA PL407905;;358.76;410.55;U
1155;PLATEAU RECTANGULAIRE 45 CM S/A  D T;;79.92;111.89;U
1156;PLATEAU RECT 45 CM INOX 18/10 DORE;;94.98;120.96;U
1157;PLATEAU RECTANGULAIRE 40 CM S/A D T;;64.91;96.00;U
1158;DESSUS DE TABLE RESTO-CARRE;;0.00;0.00;U
1159;DESSUS DE TABLE RESTO-RECT;;0.00;0.00;U
1160;SUPPORT SIGNALITIQUE;;416.50;654.50;U
1161;REMISE SUPPLEMENTAIRE;;0.00;0.00;U
1162;COFFRET FOND/COUVERCLE  600*400*10;;0.00;47.36;U
1163;COFFRET FOND/COUVERCLE 260*200*210;;0.00;33.91;U
1164;PLATEAU ROND 20 CM ANNEAU;;99.11;147.43;U
1165;COUPE RONDE AVEC PIEDS;;104.89;166.60;U
1166;BROC CLOUDIA;;0.00;0.00;U
1167;BROC CLOUDIA;;75.00;90.00;U
1168;SERVICE 7 PIECES (CARAFE + 6 VERRES );;65.00;95.00;U
1169;COFFRET MOTION 33491/290 ml ( 6 Verres );;29.00;37.50;U
1170;COFFRET CLOUDIA FLUT 280 CL;;45.00;60.00;U
1171;COFFRET 6 PIECES ANGELA;;30.00;45.00;U
1172;VASE FLIO;;20.00;35.00;U
1173;COFFRET 6 PCS COUPE A GLACE BOUHEMIA;;36.13;55.00;U
1174;PORTE SERVIETTE;;40.00;48.00;U
1175;BOUGOIR;;20.00;30.00;U
1176;CENDRIER 10 NOIR MAT;;3.20;4.50;U
1177;VERRE A PIED IMPERIAL 65 CL;;5.00;7.14;U
1178;VERRE A PIED IMPERIAL 47 CL;;4.00;6.19;U
1179;PLATEAU IMPERIAL ANSES DORE;;43.49;58.97;U
1180;VERRE A VIN EXECUTIVE 20 CL;;5.88;7.85;U
1181;PLANCHE 60*40 VERT;;91.03;118.35;U
1182;COFFRET 2 PIECES ANGELA;;0.00;16.81;U
1183;VERRE EXECUTIVE EAU 26 CL;;6.07;7.71;U
1184;VASQUE INOX A CHAMPAGNE DIM 40 CM H 24.5 CM;;283.72;354.65;U
1185;FOUET 25 CM INOX;;16.92;21.15;U
1186;FOUET 30 CM INOX;;19.50;24.38;U
1187;FOUET 40 CM INOX;;21.11;26.39;U
1188;CARAFE PASABACHE;;26.20;29.75;U
1189;EMPORTE PIECE;;0.00;13.09;U
1190;TABLE DE TRAVAIL TRITO EN BOIS;;89.25;164.22;U
1191;PLAT ROND 20 CM A/A ANNEAUX  NK;;74.33;96.60;U
1192;PLAT ROND 30 CM A/A ANNEAUX NK;;105.72;137.50;U
1193;COUPE CHOCOLAT 23CM NK;;89.10;116.00;U
1194;COUPE CHOCOLAT 18 CM NK;;68.54;92.50;U
1195;COUPE FEUILLE NK;;93.25;121.00;U
